System.IterationPath,Iteration Path
System.IterationId,Iteration ID
System.ExternalLinkCount,External Link Count
System.TeamProject,Team Project
System.HyperLinkCount,Hyperlink Count
System.AttachedFileCount,Attached File Count
System.NodeName,Node Name
System.AreaPath,Area Path
System.RevisedDate,Revised Date
System.ChangedDate,Changed Date
System.AreaId,Area ID
System.Title,Title
System.State,State
System.Rev,Rev
System.ChangedBy,Changed By
System.Reason,Reason
System.AssignedTo,Assigned To
System.WorkItemType,Work Item Type
System.CreatedDate,Created Date
System.CreatedBy,Created By
System.History,History
System.RelatedLinkCount,Related Link Count
Microsoft.VSTS.Scheduling.StoryPoints,Story Points
Microsoft.VSTS.Scheduling.RemainingWork,Remaining Work
Microsoft.VSTS.Scheduling.OriginalEstimate,Original Estimate
Microsoft.VSTS.Scheduling.CompletedWork,Completed Work
Microsoft.VSTS.Common.Activity,Activity
Microsoft.VSTS.TCM.SystemInfo,System Info
Microsoft.VSTS.TCM.ReproSteps,Repro Steps
Microsoft.VSTS.Common.StateChangeDate,State Change Date
Microsoft.VSTS.Common.ActivatedDate,Activated Date
Microsoft.VSTS.Common.ActivatedBy,Activated By
Microsoft.VSTS.Common.ResolvedDate,Resolved Date
Microsoft.VSTS.Common.ResolvedBy,Resolved By
Microsoft.VSTS.Common.ResolvedReason,Resolved Reason
Microsoft.VSTS.Common.ClosedDate,Closed Date
Microsoft.VSTS.Common.ClosedBy,Closed By
Microsoft.VSTS.Common.Priority,Priority
Microsoft.VSTS.Common.Severity,Severity
Microsoft.VSTS.Common.StackRank,Stack Rank
Microsoft.VSTS.Common.ValueArea,Value Area
Microsoft.VSTS.Build.IntegrationBuild,Integration Build
Microsoft.VSTS.Build.FoundIn,Found In
Microsoft.VSTS.CodeReview.ClosingComment,Closing Comment
Microsoft.VSTS.CodeReview.ContextCode,Associated Context Code
Microsoft.VSTS.CodeReview.ContextType,Associated Context Type
Microsoft.VSTS.CodeReview.Context,Associated Context
Microsoft.VSTS.CodeReview.ContextOwner,Associated Context Owner
Microsoft.VSTS.CodeReview.ClosedStatusCode,Closed Status Code
Microsoft.VSTS.CodeReview.ClosedStatus,Closed Status
Microsoft.VSTS.Common.StateCode,State Code
Microsoft.VSTS.CodeReview.AcceptedDate,Accepted Date
